"Sample","Highest Sum Transition Probability","Highest Sum Transition Probability (if two groups have the same value, both groups are returned as equally likely)","Greater than 0.5?"
"ERR3196800","0.902331255986833","8","Yes"
"ERR3196801","0.467847921742097","24","No"
"ERR3196802","0.714773450617139","40","Yes"
"ERR3196803","0.565103260183139","44","Yes"
"ERR3196804","0.89232130228839","48","Yes"
"ERR3196805","0.633644839384366","48","Yes"
"ERR3196806","0.688934545103454","48","Yes"
"ERR3196808","0.619072890264288","24","Yes"
"ERR3196809","0.39236641830908","40","No"
"ERR3196810","0.61937409433954","44","Yes"
"ERR3196811","0.50458029554252","44","Yes"
"ERR3196812","0.896558344509183","48","Yes"
"ERR3196813","0.976058313389597","48","Yes"
"ERR3196814","0.999943982034445","48","Yes"
"ERR3196816","0.772746235434247","16","Yes"
"ERR3196817","0.699377510185617","32","Yes"
"ERR3196818","0.557820154256375","44","Yes"
"ERR3196819","0.398400074300473","44","No"
"ERR3196820","0.44677862429686","48","No"
"ERR3196821","0.999999986461937","48","Yes"
"ERR3196822","0.996701083931027","48","Yes"
