,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08002406851815795,0.0003968016821247147,0.0,0.0,0.0,1.2341897599924414e-10,0.11681822603810559,0.008594485224877348,0.00016574646214964872,0.0,0.0,0.00025395777634673676,6.719429444993209e-11,0.7856780020071896,0.008068521554607218,0.0,0.0,0.0,1.9054582807773174e-07,0.0
ERR3196801,2.865749834093141e-11,0.0,0.013602087502287065,0.0,0.0,0.0,3.588689287351312e-05,3.571474846697571e-08,0.009572333365093453,0.15164357528057862,0.0,0.0,0.3553290201185098,2.1889969107063685e-05,3.506438629304945e-08,0.16534029955117469,0.30445483651258354,0.0,0.0,0.0,0.0
ERR3196802,0.0,0.0,0.0,0.0020130320683903226,0.36262915873691803,0.0,0.0,0.0,1.3851496210921033e-11,0.001565797540184893,0.00544113730565532,0.16338127746684927,0.11079588096319798,0.0,0.0,6.863309735737038e-09,0.001697467543344924,0.03541215169607908,0.31706408980221884,0.0,0.0
ERR3196803,0.0,0.0,1.5898104973959253e-05,0.0,0.01973358091839924,0.21998313183505405,0.0,0.0,0.0,2.7134374459540897e-07,8.020727890932983e-06,0.42839577919048805,0.11127960048669654,0.0,0.0,0.0,3.2941091458515314e-07,0.0010650190006281544,0.01760910739067015,0.0,0.20190926159053962
ERR3196804,0.0,0.0,0.0,0.000405417894608788,0.0,0.0005957397322346868,0.0,0.0,0.0,0.0024473902164470376,7.119703335865163e-05,0.01260047701331424,0.0029816634169971606,0.0,0.0,0.0,0.001744694368019513,2.945312778052931e-06,0.16715389694762509,0.15108418559381415,0.6609123924708027
ERR3196805,0.0,0.0,0.0,0.0,1.6802624422019436e-08,0.0,0.0009363577059428469,0.0,0.0,1.7023327053951872e-09,1.059941577385209e-10,1.363998191915922e-07,7.163515435824157e-09,0.6324571654834593,0.0,0.0,0.0,4.577408342519081e-11,4.514654856198077e-09,0.36635496122404376,0.00025134885183901554
ERR3196806,0.14015980942721315,0.016555382586020403,0.0,0.0,0.0,0.05775967012239204,0.0,0.01562718770287828,0.0,0.0,0.0,0.015706790466835062,0.0010562906142552533,0.6344209631670472,0.019990186213804505,0.0003319774470560541,0.0,0.0,0.0,0.037804676273560926,0.06058706597893725
ERR3196808,4.5719469857945027e-10,5.452477654609097e-06,0.40626159467499595,0.0,0.0,0.0,5.587474815820376e-07,0.0,0.09726362427318348,0.16218814219757516,0.0,0.0,0.030662791754298122,4.2617565423869974e-07,1.3343143748371088e-06,0.3036106749653973,0.0,0.0,0.0,5.399962189956953e-06,0.0
ERR3196809,0.0,8.735469834634825e-11,0.018206644579266594,0.0,0.0,0.0,0.0,3.990238794023418e-11,0.0,0.16933255853265594,0.0,0.00398197219311065,0.37545071555887305,9.708208476043895e-05,3.774469335874353e-09,0.013542663276040203,0.41861614501783895,0.0,0.0,0.0007722148557277004,0.0
ERR3196810,0.0,0.0,3.916461959273491e-07,0.001515037558529519,0.08184087755525365,0.0,0.0,0.0,0.0,0.0,0.0004946890647425897,0.23502323365711947,0.5475016600412985,0.0,0.0,2.4307093365644575e-06,7.2697479605131075e-06,0.008889930523007685,0.04622580614621932,0.0,0.07849867335033621
