"Sample","Highest Sum Transition Probability","Highest Sum Transition Probability (if two groups have the same value, both groups are returned as equally likely)","Greater than 0.5?"
"ERR3196800","0.902495988921584","8","Yes"
"ERR3196801","0.469700499295449","24","No"
"ERR3196802","0.905655267554812","44","Yes"
"ERR3196803","0.583112464657053","40","Yes"
"ERR3196804","0.660912392470803","48","Yes"
"ERR3196805","0.633644872150146","48","Yes"
"ERR3196806","0.706150332783394","48","Yes"
"ERR3196808","0.568436511487353","24","Yes"
"ERR3196809","0.47720308726405","32","No"
"ERR3196810","0.594134811656083","44","Yes"
"ERR3196811","0.775420541552014","40","Yes"
"ERR3196812","0.896558504097608","48","Yes"
"ERR3196813","0.988954942089183","48","Yes"
"ERR3196814","0.999949134097215","48","Yes"
"ERR3196816","0.850346486467783","16","Yes"
"ERR3196817","0.994870159903362","24","Yes"
"ERR3196818","0.791582544079574","40","Yes"
"ERR3196819","0.834836457574086","40","Yes"
"ERR3196820","0.657310909793277","44","Yes"
"ERR3196821","0.999999989924287","48","Yes"
"ERR3196822","0.99675248732165","48","Yes"
