,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08008947731666377,0.0,0.0,0.0,0.0,1.2351985423603483e-10,0.11691370905902947,0.008601510048317907,0.0,0.0,0.0,0.0,0.0,0.7863201869782286,0.008075116474240496,0.0,0.0,0.0,0.0,0.0
ERR3196801,1.520172404218547e-10,0.0,0.0721539536171207,0.0,0.0,0.0,0.0,1.8945329559892965e-07,0.050777624942968363,0.0,0.0,0.0,0.0,0.0,1.8600336909875718e-07,0.8770680458312291,0.0,0.0,0.0,0.0,0.0
ERR3196802,0.0,0.0,0.0,0.017342932490882472,0.0,0.0,0.0,0.0,1.1933518966531368e-10,0.01348986012703253,0.0,0.0,0.9545429076791108,0.0,0.0,5.9129667768325e-08,0.014624240453971229,0.0,0.0,0.0,0.0
ERR3196803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0878642777571245e-06,6.171578147142793e-05,0.0,0.8562449193206463,0.0,0.0,0.0,2.5346642219121242e-06,0.008194827302393388,0.1354939150669893,0.0,0.0
ERR3196804,0.0,0.0,0.0,0.0,0.0,0.000705646157061088,0.0,0.0,0.0,0.0,0.0,0.014925105210338803,0.0035317425009766265,0.0,0.0,0.0,0.0,3.4886856301825766e-06,0.1979916709204998,0.0,0.7828423465254936
ERR3196805,0.0,0.0,0.0,0.0,1.6818372541862536e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.3652765878648258e-07,7.170229381023897e-09,0.6330499306960536,0.0,0.0,0.0,0.0,0.0,0.36669832436122785,0.0002515844264577042
ERR3196806,0.15732176588065136,0.0,0.0,0.0,0.0,0.06483208943757546,0.0,0.0,0.0008715147395226163,0.0,0.0,0.0,0.0,0.7121030389883292,0.02243789719956748,0.0,0.0,0.0,0.0,0.0424336937543539,0.0
ERR3196808,1.1404730149496177e-09,1.3601215519380826e-05,0.0,0.0,0.0,0.0,1.3937966185857575e-06,0.0,0.24262428931136834,0.0,0.0,0.0,0.0,0.0,3.328449657638901e-06,0.757357386086363,0.0,0.0,0.0,0.0,0.0
ERR3196809,3.562610377376237e-07,2.751387743260975e-09,0.5734498508905569,0.0,0.0,0.0,0.0,1.2567949198372381e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.1888345864196118e-07,0.42654966995676413,0.0,0.0,0.0,0.0,0.0
ERR3196810,0.0,0.0,6.574059232958412e-07,0.0025430980189521204,0.0,0.0,0.0,0.0,0.0,0.0,0.0008303706884766617,0.0,0.9190203762178843,0.0,0.0,0.0,1.2202787668581676e-05,0.0,0.07759329488109495,0.0,0.0
