,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,-0.045002606,-0.8387961,-0.94843,-0.99428964,-0.92648286,-0.7404003,0.96965426,-0.8427926,-0.8906005,-0.96195024,-0.9623119,-0.9981226,-0.8797396,-0.44258767,-0.5986643,-0.8794583,-0.9877236,-0.9973278,-0.8552773,-0.9140476
ERR3196801,0.045002606,0.0,-0.96729106,-0.9928769,-0.96000284,-0.82995975,-0.54690784,0.53153473,-0.9767283,-0.97299224,-0.9953945,-0.8874886,-0.9817113,-0.69304305,-0.4175765,-0.9295683,-0.95375013,-0.99986815,-0.9934575,-0.7491278,-0.83067864
ERR3196802,0.8387961,0.96729106,0.0,-0.9987049,-0.7945691,-0.37809965,0.25230834,0.894125,0.8353772,-0.9844783,-0.9984821,-0.5235534,-0.70236665,0.162576,0.89721763,0.9852776,-0.9320644,-0.9733204,-0.91031724,-0.28825784,-0.47674924
ERR3196803,0.94843,0.9928769,0.9987049,0.0,-0.37024993,0.23869228,0.68537897,0.9637317,0.9743686,0.9606805,-0.997663,0.11402149,0.46696874,0.6885095,0.97384363,0.999064,0.32883045,-0.8620379,-0.5154292,0.23154698,0.026398728
ERR3196804,0.99428964,0.96000284,0.7945691,0.37024993,0.0,0.8549708,0.9687494,0.9929393,0.9550127,0.61027855,0.09147653,0.8801229,0.88036036,0.9875325,0.97789645,0.9133064,0.35910216,-0.15954101,0.1566215,0.72511864,0.55291003
ERR3196805,0.92648286,0.82995975,0.37809965,-0.23869228,-0.8549708,0.0,0.99997264,0.9321273,0.75746226,0.0746304,-0.4209054,-0.7877984,-0.04227887,0.97055644,0.8642424,0.6900344,-0.12277202,-0.60058355,-0.5980341,0.19867125,-0.8347602
ERR3196806,0.7404003,0.54690784,-0.25230834,-0.68537897,-0.9687494,-0.99997264,0.0,0.7964583,0.22740524,-0.48768672,-0.7604027,-0.99181604,-0.77882195,-0.66473895,0.57177263,0.22206971,-0.55953413,-0.85259485,-0.8807477,-0.944104,-0.98703897
ERR3196808,-0.96965426,-0.53153473,-0.894125,-0.9637317,-0.9929393,-0.9321273,-0.7964583,0.0,-0.93727267,-0.9227794,-0.97291553,-0.96310776,-0.999663,-0.8998901,-0.88472056,-0.77297044,-0.9087696,-0.99226636,-0.9989778,-0.8710635,-0.9204398
ERR3196809,0.8427926,0.9767283,-0.8353772,-0.9743686,-0.9550127,-0.75746226,-0.22740524,0.93727267,0.0,-0.9122716,-0.9836774,-0.8472414,-0.98358566,-0.43813232,0.97181386,0.20278634,-0.89255714,-0.99941534,-0.9962782,-0.6470651,-0.77270377
ERR3196810,0.8906005,0.97299224,0.9844783,-0.9606805,-0.61027855,-0.0746304,0.48768672,0.9227794,0.9122716,0.0,-0.9801024,-0.22411953,-0.20307255,0.45525113,0.93080217,0.98494977,-0.8230384,-0.91412604,-0.7635651,-0.028309101,-0.23388742
ERR3196811,0.96195024,0.9953945,0.9984821,0.997663,-0.09147653,0.4209054,0.7604027,0.97291553,0.9836774,0.9801024,0.0,0.33783618,0.7305914,0.772417,0.9817414,0.9996634,0.7411112,-0.58730084,-0.033147823,0.38428718,0.20952542
ERR3196812,0.9623119,0.8874886,0.5235534,-0.11402149,-0.8801229,0.7877984,0.99181604,0.96310776,0.8472414,0.22411953,-0.33783618,0.0,0.24683352,0.99918735,0.9183111,0.78167886,-0.010268313,-0.5531314,-0.5330316,0.49290627,-0.27086645
ERR3196813,0.9981226,0.9817113,0.70236665,-0.46696874,-0.88036036,0.04227887,0.77882195,0.999663,0.98358566,0.20307255,-0.7305914,-0.24683352,0.0,0.80368984,0.99699,0.9295578,-0.1899847,-0.93719715,-0.9943174,0.086104535,-0.25535294
ERR3196814,0.8797396,0.69304305,-0.162576,-0.6885095,-0.9875325,-0.97055644,0.66473895,0.8998901,0.43813232,-0.45525113,-0.772417,-0.99918735,-0.80368984,0.0,0.74099594,0.38405353,-0.54436255,-0.87258023,-0.90526557,-0.82331693,-0.9405302
ERR3196816,0.44258767,0.4175765,-0.89721763,-0.97384363,-0.97789645,-0.8642424,-0.57177263,0.88472056,-0.97181386,-0.93080217,-0.9817414,-0.9183111,-0.99699,-0.74099594,0.0,-0.6699887,-0.91308725,-0.99762547,-0.99963003,-0.7794057,-0.85965294
ERR3196817,0.5986643,0.9295683,-0.9852776,-0.999064,-0.9133064,-0.6900344,-0.22206971,0.77297044,-0.20278634,-0.98494977,-0.9996634,-0.78167886,-0.9295578,-0.38405353,0.6699887,0.0,-0.9602526,-0.9946347,-0.97374636,-0.59259313,-0.7163411
ERR3196818,0.8794583,0.95375013,0.9320644,-0.32883045,-0.35910216,0.12277202,0.55953413,0.9087696,0.89255714,0.8230384,-0.7411112,0.010268313,0.1899847,0.54436255,0.91308725,0.9602526,0.0,-0.6879623,-0.44539896,0.13425463,-0.042731714
ERR3196819,0.9877236,0.99986815,0.9733204,0.8620379,0.15954101,0.60058355,0.85259485,0.99226636,0.99941534,0.91412604,0.58730084,0.5531314,0.93719715,0.87258023,0.99762547,0.9946347,0.6879623,0.0,0.61012125,0.53422415,0.3767114
ERR3196820,0.9973278,0.9934575,0.91031724,0.5154292,-0.1566215,0.5980341,0.8807477,0.9989778,0.9962782,0.7635651,0.033147823,0.5330316,0.9943174,0.90526557,0.99963003,0.97374636,0.44539896,-0.61012125,0.0,0.51769805,0.31235465
ERR3196821,0.8552773,0.7491278,0.28825784,-0.23154698,-0.72511864,-0.19867125,0.944104,0.8710635,0.6470651,0.028309101,-0.38428718,-0.49290627,-0.086104535,0.82331693,0.7794057,0.59259313,-0.13425463,-0.53422415,-0.51769805,0.0,-0.95772976
ERR3196822,0.9140476,0.83067864,0.47674924,-0.026398728,-0.55291003,0.8347602,0.98703897,0.9204398,0.77270377,0.23388742,-0.20952542,0.27086645,0.25535294,0.9405302,0.85965294,0.7163411,0.042731714,-0.3767114,-0.31235465,0.95772976,0.0
