"Sample","Highest Sum Transition Probability","Highest Sum Transition Probability (if two groups have the same value, both groups are returned as equally likely)","Greater than 0.5?"
"ERR3196800","0.902645838399584","8","Yes"
"ERR3196801","0.510864051353494","44","Yes"
"ERR3196802","0.667764977711908","40","Yes"
"ERR3196803","0.80476216339691","40","Yes"
"ERR3196804","0.662533871385697","48","Yes"
"ERR3196805","0.633644873119915","48","Yes"
"ERR3196806","0.720096874816462","48","Yes"
"ERR3196808","0.586431359527967","24","Yes"
"ERR3196809","0.651038282104434","44","Yes"
"ERR3196810","0.59413637883555","44","Yes"
"ERR3196811","0.848049986415092","40","Yes"
"ERR3196812","0.896558489618411","48","Yes"
"ERR3196813","0.976058699877452","48","Yes"
"ERR3196814","0.999994708251584","48","Yes"
"ERR3196816","0.861283656538543","16","Yes"
"ERR3196817","0.967111011928912","24","Yes"
"ERR3196818","0.565369332009633","40","Yes"
"ERR3196819","0.959103052853527","40","Yes"
"ERR3196820","0.661496418498242","44","Yes"
"ERR3196821","0.999999953604505","48","Yes"
"ERR3196822","0.996752124858573","48","Yes"
