,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08008947731666377,0.0,0.0,0.0,0.0,1.2351985423603483e-10,0.11691370905902947,0.008601510048317907,0.0,0.0,0.0,0.0,0.0,0.7863201869782286,0.008075116474240496,0.0,0.0,0.0,0.0,0.0
ERR3196801,1.6380525410278752e-10,0.0,0.0,0.0,0.0,0.0,0.00020512821936411471,2.0414424798183398e-07,0.054715121347007366,0.0,0.0,0.0,0.0,0.0,2.0042680063554308e-07,0.9450793456987746,0.0,0.0,0.0,0.0,0.0
ERR3196802,0.0,0.0,0.0,0.017342932490882472,0.0,0.0,0.0,0.0,1.1933518966531368e-10,0.01348986012703253,0.0,0.0,0.9545429076791108,0.0,0.0,5.9129667768325e-08,0.014624240453971229,0.0,0.0,0.0,0.0
ERR3196803,0.0,0.0,0.0008502276042856285,0.0,0.0,0.0,0.0,0.0,0.0,1.4511411409292744e-05,0.0004289469889968001,0.0,0.0,0.0,0.0,0.0,1.7616832521362014e-05,0.056957011851786934,0.941731685311,0.0,0.0
ERR3196804,0.0,0.0,0.0,0.0,0.0,0.000705646157061088,0.0,0.0,0.0,0.0,0.0,0.014925105210338803,0.0035317425009766265,0.0,0.0,0.0,0.0,3.4886856301825766e-06,0.1979916709204998,0.0,0.7828423465254936
ERR3196805,0.0,0.0,0.0,0.0,1.6818372541862536e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.3652765878648258e-07,7.170229381023897e-09,0.6330499306960536,0.0,0.0,0.0,0.0,0.0,0.36669832436122785,0.0002515844264577042
ERR3196806,0.15765807717532498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01766770655380291,0.0,0.7136253222759759,0.0,0.0003734232101365052,0.0,0.0,0.0,0.04252440549029473,0.06815106529446516
ERR3196808,1.1404730149496177e-09,1.3601215519380826e-05,0.0,0.0,0.0,0.0,1.3937966185857575e-06,0.0,0.24262428931136834,0.0,0.0,0.0,0.0,0.0,3.328449657638901e-06,0.757357386086363,0.0,0.0,0.0,0.0,0.0
ERR3196809,3.562610377376237e-07,2.751387743260975e-09,0.5734498508905569,0.0,0.0,0.0,0.0,1.2567949198372381e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.1888345864196118e-07,0.42654966995676413,0.0,0.0,0.0,0.0,0.0
ERR3196810,0.0,0.0,7.013608501103703e-07,0.0027131325187096035,0.0,0.0,0.0,0.0,0.0,0.0,0.0008858902412332573,0.0,0.9804671504957908,0.0,0.0,0.0,1.301868028515059e-05,0.015920106703131133,0.0,0.0,0.0
ERR3196811,0.0,0.0,0.0,1.001941885136735e-07,0.4754164906702283,0.0,0.0,0.0,0.0,1.2824191901637007e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.1586750543967033e-07,0.14250597784283486,0.38207593300605286,0.0,0.0
ERR3196812,0.0,0.0,0.0,0.0,1.4045806580563838e-06,0.0011317561247937186,0.0,0.0,0.0,0.0,0.0,0.0,1.2445095813486168e-11,0.10604763154485622,0.0,0.0,0.0,0.0,0.0,0.10236445873693835,0.7904547490003085
ERR3196813,0.0,0.0,0.0,0.0,0.001580484309064804,0.0,0.0,0.0,0.0,0.0,0.0,0.006606290617821648,0.0,0.9592373874860952,0.0,0.0,3.804482499329595e-08,0.0,0.0006183811195631498,0.0,0.03195741842263023
ERR3196814,0.0,0.0,0.0,0.0,0.0,2.9255800311910293e-06,0.9999943209297562,0.0,0.0,0.0,0.0,3.6685839475577943e-07,8.321523834029786e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.204684706409635e-07,6.340109639031936e-07
ERR3196816,3.4810424976380233e-08,0.7487676292399553,0.0,0.0,0.0,0.0,2.1664740136851668e-08,0.0017364064877056912,0.05212919390833476,0.0,0.0,0.0,0.0,0.0,0.0,0.19736671388883908,0.0,0.0,0.0,0.0,0.0
ERR3196817,0.048122977139628764,0.054580956626582994,0.0,0.0,0.0,0.0,0.0022436875516301277,0.250036988524601,3.3884195727363954e-07,0.0,0.0,0.0,0.0,0.0,0.6450150513155999,0.0,0.0,0.0,0.0,0.0,0.0
ERR3196818,0.0,0.0,0.0,8.444435715707801e-05,0.0,0.0,0.0,0.0,0.0,7.262469786030224e-08,0.0001880154749708949,0.0,0.6435799869148024,0.0,0.0,0.0,0.0,0.06552072514311953,0.29062675548525224,0.0,0.0
ERR3196819,0.0,0.0,0.0,2.9006832575866687e-08,0.5311160372464506,0.0,0.0,0.0,0.0,5.98677525970753e-06,2.1273398732052448e-10,0.0,0.0,0.0,0.0,0.0,2.3828077884860788e-08,0.0,0.4688779229306451,0.0,0.0
ERR3196820,0.0,0.0,0.0,0.0001719446729583772,7.288710073311132e-07,0.0,0.0,0.0,0.0,0.0,8.100187999092922e-06,0.0,0.9997059698743113,0.0,0.0,0.0,0.00011003027583998318,3.226117883987806e-06,0.0,0.0,0.0
ERR3196821,0.0,0.0,0.0,0.0,0.0,6.222945824871352e-12,0.0006157952057048959,0.0,0.0,0.0,0.0,4.454602430159332e-11,1.1264142786095711e-10,0.9993842044650594,0.0,0.0,0.0,0.0,0.0,0.0,1.658254398756691e-10
ERR3196822,0.0,0.0,0.0,0.0,1.565745635767498e-13,3.6640248605694043e-11,0.0,0.0,0.0,0.0,0.0,6.74079300680236e-08,6.38554159859155e-07,0.9967464389950907,0.0,0.0,0.0,0.0,0.0,0.0032528550060225312,0.0
