"Sample","Highest Sum Transition Probability","Highest Sum Transition Probability (if two groups have the same value, both groups are returned as equally likely)","Greater than 0.5?"
"ERR3196800","0.902342655767378","8","Yes"
"ERR3196801","0.469300434175208","24","No"
"ERR3196802","0.686337625388934","40","Yes"
"ERR3196803","0.465393304009062","40","No"
"ERR3196804","0.891853796680933","48","Yes"
"ERR3196805","0.633644870806817","48","Yes"
"ERR3196806","0.693707574343095","48","Yes"
"ERR3196808","0.567835917756539","24","Yes"
"ERR3196809","0.460409060314193","32","No"
"ERR3196810","0.533494250564755","44","Yes"
"ERR3196811","0.504614463118103","44","Yes"
"ERR3196812","0.896558439356585","48","Yes"
"ERR3196813","0.567924500857457","48","Yes"
"ERR3196814","0.999983697949072","48","Yes"
"ERR3196816","0.850093270514248","16","Yes"
"ERR3196817","0.628076754362006","24","Yes"
"ERR3196818","0.453827552141192","40","No"
"ERR3196819","0.494633911440021","44","No"
"ERR3196820","0.509909708855558","48","Yes"
"ERR3196821","0.999999948633124","48","Yes"
"ERR3196822","0.996372437126733","48","Yes"
