,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08008947732655641,0.0,0.0,0.0,0.0,0.0,0.11691370907347062,0.008601510049380364,0.0,0.0,0.0,0.0,0.0,0.7863201870753547,0.008075116475237933,0.0,0.0,0.0,0.0,0.0
ERR3196801,1.63838862076828e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0418613231957555e-07,0.05472634726517418,0.0,0.0,0.0,0.0,0.0,2.004679222634766e-07,0.9452732479169325,0.0,0.0,0.0,0.0,0.0
ERR3196802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214413386022957e-10,0.013727942914232757,0.0,0.0,0.9713896528508447,0.0,0.0,6.017324835225527e-08,0.01488234394023278,0.0,0.0,0.0,0.0
ERR3196803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4523759910886998e-05,0.0004293120019116765,0.0,0.0,0.0,0.0,0.0,1.7631823584487437e-05,0.0570054794840398,0.9425330529305531,0.0,0.0
ERR3196804,0.0,0.0,0.0,0.0,0.0,0.003249464827837294,0.0,0.0,0.0,0.0,0.0,0.06872935386590441,0.016263495412061266,0.0,0.0,0.0,0.0,1.6065220701936418e-05,0.9117416206734951,0.0,0.0
ERR3196805,0.0,0.0,0.0,0.0,4.583286411495528e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.720605913276351e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2314716877137734e-08,0.999313960360679,0.0006856094311487967
ERR3196806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020336512225519708,0.0,0.0,0.0,0.0,0.0,0.8256066234615147,0.02601432030233913,0.0,0.0,0.0,0.0,0.049197288458849374,0.07884525555177709
ERR3196808,1.1404746045392652e-09,1.3601234476735448e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.24262462748075372,0.0,0.0,0.0,0.0,0.0,3.328454296827245e-06,0.7573584416899982,0.0,0.0,0.0,0.0,0.0
ERR3196809,0.0,4.3442355026944414e-10,0.09054344329894382,0.0,0.0,0.0,0.0,1.9843851975192392e-10,0.0,0.8421075528450956,0.0,0.0,0.0,0.0,0.0,0.0673490032230985,0.0,0.0,0.0,0.0,0.0
ERR3196810,0.0,0.0,7.127072251833823e-07,0.0027570246452450673,0.0,0.0,0.0,0.0,0.0,0.0,0.0009002218694514161,0.0,0.9963288114860526,0.0,0.0,0.0,1.322929202580834e-05,0.0,0.0,0.0,0.0
ERR3196811,0.0,0.0,0.0,1.9099759472364178e-07,0.0,0.0,0.0,0.0,0.0,2.4446425923723165e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.1150265229547726e-07,0.2716554663048902,0.7283414865522705,0.0,0.0
ERR3196812,0.0,0.0,0.0,0.0,1.774326459567389e-06,0.0014296828213323839,0.0,0.0,0.0,0.0,0.0,0.0,1.5721178180166448e-11,0.0,0.0,0.0,0.0,0.0,3.224077554423915e-05,0.0,0.9985363020609426
ERR3196813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.990209061359351e-07,4.214311557948908e-06,0.168603975695353,0.0,0.0,0.0,0.0,0.0,0.0,0.015782156929643156,0.0,0.8156086540425398
ERR3196814,0.0,0.0,0.0,0.0,0.0,2.925582465721451e-06,0.999995153078106,0.0,0.0,0.0,0.0,3.6685870003812097e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.204692366116326e-07,6.340114914973672e-07
ERR3196816,4.337027329758556e-08,0.9328888325424552,0.0,0.0,0.0,0.0,2.6992077841450503e-08,0.0021633870881666963,0.06494771000702694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR3196817,0.010521869719031355,0.011933877513411,0.9228747302271654,0.0,0.0,0.0,0.0,0.05466944845414202,7.408625030471936e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR3196818,0.0,0.0,7.01468735569905e-07,0.00013115472158812936,0.0,0.0,0.0,0.0,0.0,1.1279702219263771e-07,0.00029201616430329745,0.0,0.9995760148483508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR3196819,0.0,0.0,0.0,2.900700623429397e-08,0.5311192169378386,0.0,0.0,0.0,0.0,0.0,2.1273526091872144e-10,0.0,0.0,0.0,0.0,0.0,2.3828220539061996e-08,0.0,0.46888073001419933,0.0,0.0
ERR3196820,0.0,0.0,0.0,0.0,5.104395256315334e-07,0.0,0.0,0.0,0.0,0.0,5.672685671670474e-06,0.29988216112345584,0.7001093964516001,0.0,0.0,0.0,0.0,2.259299746828945e-06,0.0,0.0,0.0
ERR3196821,0.0,0.0,0.0,0.0,0.0,6.2229458255723135e-12,0.0006157952057742599,0.0,0.0,0.0,0.0,4.454602430661104e-11,0.0,0.9993842045776314,0.0,0.0,0.0,0.0,0.0,0.0,1.658254398943479e-10
ERR3196822,0.0,0.0,0.0,0.0,0.0,3.6640248605699776e-11,0.0,0.0,0.0,0.0,0.0,6.740793006803416e-08,6.38554159859255e-07,0.9967464389952467,0.0,0.0,0.0,0.0,0.0,0.003252855006023041,0.0
